x,y
9.674003791867991087e-01,-1.468238102560130275e-03
9.701455561363377944e-01,-1.467952346497973775e-03
9.727735629568335929e-01,-1.470404111572349692e-03
9.752837446938913413e-01,-1.475254279836248636e-03
9.776754757575973898e-01,-1.482171752062805487e-03
9.799481600784285540e-01,-1.490834609859794735e-03
9.821012312558058399e-01,-1.500931214062830883e-03
9.841341526992536393e-01,-1.512161238466094024e-03
9.860464177621284243e-01,-1.524236638428876816e-03
9.878375498678868549e-01,-1.536882554334999826e-03
9.895071026288573268e-01,-1.549838150275979808e-03
9.910546599574902027e-01,-1.562857388674482968e-03
9.924798361700553073e-01,-1.575709741859143351e-03
9.937822760827619284e-01,-1.588180841843500092e-03
9.949616551002785636e-01,-1.600073069749352594e-03
9.960176792966288772e-01,-1.611206086447907436e-03
9.969500854884438823e-01,-1.621417306071260131e-03
9.977586413005530286e-01,-1.630562314073300250e-03
9.984431452238966553e-01,-1.638515231495151934e-03
9.990034266657467077e-01,-1.645169027018784924e-03
9.994393459922217282e-01,-1.650435778276972826e-03
9.997507945630869086e-01,-1.654246883732843907e-03
9.999376947588286546e-01,-1.656553226252656863e-03
1.000000000000000000e+00,-1.657325289276860136e-03
