x,y
1.314354062441105975e-01,-3.661988848357274062e-02
1.368151243676802853e-01,-3.687078906032635606e-02
1.422853557763144039e-01,-3.709595391069069048e-02
1.478447371736640314e-01,-3.729519625221718038e-02
1.534918830453341210e-01,-3.746843806453890174e-02
1.592253860041831781e-01,-3.761570366023852391e-02
1.650438171410725241e-01,-3.773711147624170953e-02
1.709457263809812111e-01,-3.783286436238646189e-02
1.769296428443952185e-01,-3.790323866158328003e-02
1.829940752138806692e-01,-3.794857238767680024e-02
1.891375121057524700e-01,-3.796925281272136438e-02
1.953584224467416197e-01,-3.796570377493785342e-02
2.016552558555720354e-01,-3.793837301231617332e-02
2.080264430293469746e-01,-3.788771981492412844e-02
2.144703961346526300e-01,-3.781420327185669450e-02
2.209855092032799728e-01,-3.771827136685217130e-02
2.275701585324649279e-01,-3.760035115044910170e-02
2.342227030895493445e-01,-3.746084018674282479e-02
2.409414849209612353e-01,-3.730009943997912580e-02
2.477248295654113086e-01,-3.711844773107026568e-02
2.545710464712032106e-01,-3.691615785735780780e-02
2.614784294175551693e-01,-3.669345443129844175e-02
2.684452569398261268e-01,-3.645051345594611802e-02
2.754697927585401107e-01,-3.618746361786090437e-02
2.825502862121035408e-01,-3.590438924208080168e-02
2.896849726931080005e-01,-3.560133481970591263e-02
2.968720740881055642e-01,-3.527831098706570023e-02
3.041097992207534850e-01,-3.493530180691813147e-02
3.113963442982120577e-01,-3.457227317714417492e-02
3.187298933606877993e-01,-3.418918217135517162e-02
3.261086187340088149e-01,-3.378598709904884895e-02
3.335306814851195512e-01,-3.336265806066593398e-02
3.409942318803809158e-01,-3.291918776526808060e-02
3.484974098465636883e-01,-3.245560237563154676e-02
3.560383454344168142e-01,-3.197197214730447545e-02
3.636151592846984526e-01,-3.146842163448824309e-02
3.712259630965517587e-01,-3.094513924627473322e-02
3.788688600981084953e-01,-3.040238595152246898e-02
3.865419455192049547e-01,-2.984050294913137558e-02
3.942433070660905092e-01,-2.925991814226520590e-02
4.019710253980109949e-01,-2.866115127969764975e-02
4.097231746055489121e-01,-2.804481765440854785e-02
4.174978226906004286e-01,-2.741163027827326487e-02
4.252930320478696125e-01,-2.676240048159842996e-02
4.331068599477604919e-01,-2.609803691676599452e-02
4.409373590205460380e-01,-2.541954297576384456e-02
4.487825777416933337e-01,-2.472801266132006182e-02
4.566405609182246916e-01,-2.402462498015736636e-02
4.645093501759920973e-01,-2.331063695400679633e-02
4.723869844477459612e-01,-2.258737536897533274e-02
4.802715004618736683e-01,-2.185622740620285498e-02
4.881609332316880212e-01,-2.111863031608037997e-02
4.960533165451434523e-01,-2.037606031431078019e-02
5.039466834548567142e-01,-1.963002089051086099e-02
5.118390667683120343e-01,-1.888203072870053151e-02
5.197284995381263872e-01,-1.813361144378315692e-02
5.276130155522540388e-01,-1.738627533895839919e-02
5.354906498240080692e-01,-1.664151338596243923e-02
5.433594390817755304e-01,-1.590078362321466904e-02
5.512174222583067218e-01,-1.516550015654464026e-02
5.590626409794540175e-01,-1.443702293343229574e-02
5.668931400522395636e-01,-1.371664844492173109e-02
5.747069679521304986e-01,-1.300560148993219929e-02
5.825021773093996824e-01,-1.230502811499571691e-02
5.902768253944511434e-01,-1.161598981894645943e-02
5.980289746019891162e-01,-1.093945908724843624e-02
6.057566929339095463e-01,-1.027631629497009064e-02
6.134580544807950453e-01,-9.627347991399887173e-03
6.211311399018917268e-01,-8.993246553452700215e-03
6.287740369034484633e-01,-8.374611169834202812e-03
6.363848407153016584e-01,-7.771950093885889206e-03
6.439616545655832969e-01,-7.185684080574763349e-03
6.515025901534363673e-01,-6.616150902627385491e-03
6.590057681196190842e-01,-6.063610822706997673e-03
6.664693185148806709e-01,-5.528252883110634092e-03
6.738913812659912406e-01,-5.010201861981574377e-03
6.812701066393123117e-01,-4.509525735691549686e-03
6.886036557017880533e-01,-4.026243480985854106e-03
6.958902007792465705e-01,-3.560333047772965866e-03
7.031279259118945468e-01,-3.111739334087363328e-03
7.103150273068921106e-01,-2.680381998699501479e-03
7.174497137878965702e-01,-2.266162953969063851e-03
7.245302072414602224e-01,-1.868973391654578679e-03
7.315547430601738732e-01,-1.488700207264821544e-03
7.385215705824448307e-01,-1.125231703877016542e-03
7.454289535287967894e-01,-7.784624738191688520e-04
7.522751704345886914e-01,-4.482973758465261640e-04
7.590585150790387647e-01,-1.346545460350269830e-04
7.657772969104507110e-01,1.625325978581787165e-04
7.724298414675352387e-01,4.433143767915161647e-04
7.790144907967200272e-01,7.077248917361028896e-04
7.855296038653474255e-01,9.557830603184689494e-04
7.919735569706531919e-01,1.187494602364496049e-03
7.983447441444280201e-01,1.402854908226502722e-03
8.046415775532584913e-01,1.601852705693130414e-03
8.108624878942476411e-01,1.784474425134741299e-03
8.170059247861194418e-01,1.950709148625223797e-03
8.230703571556050591e-01,2.100554017357881328e-03
8.290542736190188444e-01,2.234019962940855808e-03
8.349561828589276979e-01,2.351137622262373678e-03
8.407746139958168774e-01,2.451963292647530920e-03
8.465081169546659901e-01,2.536584784017036770e-03
8.521552628263360241e-01,2.605127027675166029e-03
8.577146442236855961e-01,2.657757307114110359e-03
8.631848756323197147e-01,2.694689984682011388e-03
8.685645937558894580e-01,2.716190608929420179e-03
8.738524578558546363e-01,2.722579300680539206e-03
